t	step.n	cyc.n	I	E	Q.c	Q.d	step.t	En.d	En.c	Q.c.err	Q.d.err
471	222233.843006302	4	5	0.000443469791207463	2.33493185043335	692.499116370357	928.502436586429	15740.9816206645	1993.08015016214	1560.6622659175	11.1294500845236	14.9223605879962
472	222353.867323424	4	5	0.000443469791207463	2.3370795249939	697.779418451429	928.502436586429	15861.0059374841	1993.08015016214	1572.99726554393	11.2143120822551	14.9223605879962
473	222473.891703934	4	5	0.000443434837507084	2.33892035484314	703.059710719286	928.502436586429	15981.030317995	1993.08015016214	1585.34276053179	11.2991739222742	14.9223605879962
474	222593.915939253	4	5	0.000443469791207463	2.34106802940369	708.340015851071	928.502436586429	16101.0545530119	1993.08015016214	1597.6983680875	11.3840359690351	14.9223605879962
475	222713.940277504	4	5	0.000443434837507084	2.34260225296021	713.620312003214	928.502436586429	16221.0788912631	1993.08015016214	1610.06390358321	11.4688978714802	14.9223605879962
476	222833.96452037	4	5	0.000443434837507084	2.34444308280945	718.900607701786	928.502436586429	16341.1031344301	1993.08015016214	1622.43910494464	11.5537597666358	14.9223605879962
477	222953.988784365	4	5	0.000443434837507084	2.34628391265869	724.180918143571	928.502436586429	16461.1273984251	1993.08015016214	1634.82326001107	11.638621898736	14.9223605879962
478	223074.013155216	4	5	0.000443469791207463	2.34812474250793	729.4612138775	928.502436586429	16581.1517692767	1993.08015016214	1647.21646149071	11.7234837944598	14.9223605879962
479	223194.037427965	4	5	0.000443434837507084	2.34965896606445	734.741510703214	928.502436586429	16701.1760420254	1993.08015016214	1659.618341545	11.8083457077302	14.9223605879962
480	223314.061718825	4	5	0.000443434837507084	2.35088610649109	740.021806973214	928.502436586429	16821.2003328855	1993.08015016214	1672.02829189107	11.8932076120695	14.9223605879962
481	223434.086056171	4	5	0.000443469791207463	2.35242033004761	745.302106104643	928.502436586429	16941.2246702312	1993.08015016214	1684.44622381857	11.978069562396	14.9223605879962
482	223554.110360614	4	5	0.000443469791207463	2.35395431518555	750.582415109286	928.502436586429	17061.2489746747	1993.08015016214	1696.87159240036	12.0629316713992	14.9223605879962
483	223674.134647852	4	5	0.000443469791207463	2.35487484931946	755.86273316	928.502436586429	17181.2732616106	1993.08015016214	1709.30336343929	12.1477939257857	14.9223605879962
484	223794.15881465	4	5	0.000443469791207463	2.35487484931946	761.143043572143	928.502436586429	17301.2974287102	1993.08015016214	1721.73796204143	12.2326560574094	14.9223605879962
485	223914.183218102	4	5	0.000443434837507084	2.35579514503479	766.423361862143	928.502436586429	17421.3218324639	1993.08015016214	1734.17642115857	12.3175183156416	14.9223605879962
486	224034.207583822	4	5	0.000443469791207463	2.35610198974609	771.703651425714	928.502436586429	17541.3461978821	1993.08015016214	1746.61708664714	12.402380112199	14.9223605879962
